Title Name,Language,Type,Rating,IMDb,Cover Image Path
revisions,TV,Japanese,TV-14,6.1/10,images\AAAABamq9xQ9ym1EZtdFZ5H9QbL6sh5F9AzT-g3cUG1G8syN57ezJzqLfXtliplwsCi6lpW2Q0KfXC-7w-51wv2s31oatFcp_3X24g.jpg
Rilakkuma and Kaoru,TV,Japanese,TV-PG,8.4/10,images\AAAABd51yMaM4r5UpsuJXs8ugVbmkBciqnrxAulkOZws0naHo8c5Oh82V6kzeLme1W2BZGQ9dE6_Yi5DKnJA8Vu7m8VAwIh1YwdqNg.jpg
Rilakkuma's Theme Park Adventure,TV,Japanese,TV-PG,,images\rilakkumasthemeparkadventure.jpeg
Rising Impact,TV,Japanese,TV-PG,,images\risingimpact.jpeg
Road To Ninja -Naruto The movie-,Movie,English,TV-14,,images\roadtoninjanarutothemovie.jpeg
Romantic Killer,TV,Japanese,TV-14,,images\romantickiller.jpeg
Sailor Moon Crystal,TV,Japanese,TV-14,,images\sailormooncrystal.jpeg
Sakuna: Of Rice and Ruin,TV,Japanese,TV-14,,images\sakunaofriceandruin.jpeg
Seis Manos,TV,Japanese,TV-MA,7.3/10,images\AAAABQVaD6FU0rLlnH36RVYmyzJKfC0q-YRLUwkmGCLcVXw_SDIhWXYFPS2efLNTPsldbw5inyMzegdJEQ_d1BSh7TNL41loh5k51Itc347CQ0EvAHwgnFPSvOBHxLCqLg.jpg
SHAMAN KING,TV,Japanese,TV-PG,,images\shamanking.jpeg
Shaman King Flowers,TV,Japanese,TV-14,,images\shamankingflowers.jpeg
Sirius the Jaeger,TV,Japanese,TV-MA,6.8/10,
Skull Island,TV,English,TV-14,,images\skullisland.jpeg
Slam Dunk,TV,Japanese,TV-PG,,images\slamdunk.jpeg
Smoking,TV,Japanese,TV-MA,7.0/10,
Sol Levante,Movie,Japanese,TV-14,4.8/10,images\AAAABfbnPvaFGK-4PpY5do5mx7YM9wviMm6Gbm-LCasi10MAc4uaDpn8wWdx79fqDQpQ2yaVvdjZAzmeS-2IBYTaH55DvHSUdG5jMe7u2PIkBMP3lL_nSHFa01By_7sqyQ.jpg
SPRIGGAN,TV,Japanese,TV-MA,,images\spriggan.jpeg
STAND BY ME Doraemon,Movie,English,TV-PG,,images\standbymedoraemon.jpeg
STAND BY ME Doraemon 2,Movie,Japanese,TV-Y7,,images\standbymedoraemon2.jpeg
Sturgill Simpson Presents Sound & Fury,Movie,English,TV-MA,6.5/10,images\AAAABWxOlscUKsZdwgOpzyNwjTGRlnuZiv9agwYFJWNd-8w3VXMegVY8Uy6o-DBvPpA2kcBJ-Bgd1T2ek-P6xzipWSJVtmzUYngWK1Vq9CJmWMSEPufdOt-cSfmikT7RKw.jpg
Super Crooks,TV,Japanese,TV-MA,,images\supercrooks.jpeg
Suzume,Movie,Hindi,PG,,images\suzume.jpeg
Switched,TV,Japanese,TV-MA,7.2/10,
SWORDGAI The Animation,TV,Japanese,TV-MA,5.9/10,
